ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7928107	0.00572	1.72e-07	-6.93782045	6.35996	-0.89165625	H2AFY2	H2A histone family member Y2
8022295	0.05173	3.11e-06	-5.8335363	4.05912	-0.64244271	PIEZO2	piezo type mechanosensitive ion channel component 2
7905043	0.05939	6.04e-06	-5.58530628	3.5192	-0.52472063		
7946641	0.05939	7.50e-06	-5.50485429	3.34277	-0.65002502	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18
8103226	0.05939	9.11e-06	-5.43275571	3.18412	-1.73298788	TMEM154	transmembrane protein 154
7926223	0.05939	1.33e-05	-5.29148472	2.87185	-0.64698903	CAMK1D	calcium/calmodulin dependent protein kinase ID
8165684	0.05939	1.40e-05	5.27386735	2.83279	1.0246658		
8066822	0.05939	1.43e-05	-5.26623915	2.81587	-1.07780755	SULF2	sulfatase 2
7990620	0.06017	1.63e-05	-5.21779508	2.70831	-0.51290545	TSPAN3	tetraspanin 3
8141803	0.07485	2.25e-05	-5.09808504	2.44177	-0.54916133	RASA4CP///RASA4	RAS p21 protein activator 4C, pseudogene///RAS p21 protein activator 4
8169717	0.07916	2.89e-05	-5.00505951	2.234	-0.80561475	GRIA3	glutamate ionotropic receptor AMPA type subunit 3
7928218	0.07916	3.05e-05	4.98534035	2.1899	0.73931293	CDH23	cadherin-related 23
7990540	0.07916	3.28e-05	4.9589386	2.13081	0.37464145	IMP3	IMP3, U3 small nucleolar ribonucleoprotein
7905028	0.07916	3.38e-05	-4.94744414	2.10508	-0.56985604	LOC654342///LOC645166	lymphocyte-specific protein 1 pseudogene///lymphocyte-specific protein 1 pseudogene
8084923	0.07916	3.81e-05	-4.90325764	2.0061	-1.18284979	LINC00885	long intergenic non-protein coding RNA 885
7964142	0.07916	3.88e-05	4.89625906	1.99041	0.93955052	APOF	apolipoprotein F
7934789	0.07916	4.07e-05	-4.87856796	1.95075	-1.25241176	GRID1	glutamate ionotropic receptor delta type subunit 1
7916526	0.07916	4.28e-05	4.8602318	1.90963	0.43317923	C8B	complement component 8, beta polypeptide
8079117	0.08594	4.95e-05	4.80609	1.78814	0.76275839	ACKR2	atypical chemokine receptor 2
7903355	0.08594	5.16e-05	4.79091438	1.75407	0.9984215	GPR88	G protein-coupled receptor 88
7895941	0.09674	6.53e-05	4.70421621	1.5593	0.89752698		
8161270	0.09674	6.55e-05	-4.7028537	1.55624	-1.00413436	ANKRD18A	ankyrin repeat domain 18A
7924636	0.09674	6.68e-05	-4.695528	1.53978	-0.65253341	TMEM63A	transmembrane protein 63A
8101648	0.09955	7.70e-05	4.64301182	1.42171	0.64302942	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11
8072876	0.09955	7.88e-05	-4.63439123	1.40233	-0.54053093	LGALS1	galectin 1
8050702	0.09955	7.89e-05	-4.63403305	1.40152	-0.82253297	TP53I3	tumor protein p53 inducible protein 3
8100318	0.09955	8.07e-05	-4.62564681	1.38266	-0.72312684	SGCB	sarcoglycan beta
8124448	0.10956	9.21e-05	-4.5767343	1.27266	-0.65650198	HIST1H4H	histone cluster 1, H4h
7899192	0.11351	9.89e-05	-4.55061427	1.21391	-0.71846892	RPS6KA1	ribosomal protein S6 kinase A1
8140620	0.1156	1.06e-04	-4.52582371	1.15815	-0.43451505	PCLO	piccolo presynaptic cytomatrix protein
8043375	0.1156	1.08e-04	4.51914434	1.14313	0.9346484		
8141768	0.12195	1.19e-04	-4.48230831	1.06029	-0.45808292	RASA4CP///RASA4	RAS p21 protein activator 4C, pseudogene///RAS p21 protein activator 4
8136934	0.12195	1.21e-04	-4.47616463	1.04647	-0.5175873	TAS2R41	taste 2 receptor member 41
7957221	0.12329	1.31e-04	-4.44566757	0.97789	-1.32116901	TRHDE-AS1///TRHDE	TRHDE antisense RNA 1///thyrotropin releasing hormone degrading enzyme
8080487	0.12329	1.32e-04	-4.4436944	0.97346	-0.3643351	PRKCD	protein kinase C delta
7935679	0.12329	1.33e-04	4.43985886	0.96483	0.62380935	CPN1	carboxypeptidase N subunit 1
8005785	0.12594	1.40e-04	-4.42179136	0.92421	-0.44219612	KSR1	kinase suppressor of ras 1
8022310	0.12696	1.45e-04	-4.40888919	0.89521	-0.55512843	PIEZO2	piezo type mechanosensitive ion channel component 2
7965873	0.12812	1.50e-04	4.39541948	0.86493	1.0891802	IGF1	insulin like growth factor 1
7901993	0.12812	1.54e-04	-4.38647716	0.84484	-0.6131404	CACHD1	cache domain containing 1
8082965	0.13092	1.62e-04	-4.36661127	0.80019	-0.48392395	MRAS	muscle RAS oncogene homolog
8093539	0.13092	1.68e-04	-4.35482265	0.77371	-0.3271928	WHSC1	Wolf-Hirschhorn syndrome candidate 1
8060963	0.13092	1.69e-04	-4.35156324	0.76639	-0.6487217	SNAP25	synaptosome associated protein 25
8165680	0.13407	1.77e-04	4.33417615	0.72733	0.71062964		
8044927	0.13855	1.94e-04	4.29956776	0.64962	0.63595423	INHBB///INHBB	inhibin beta B subunit///inhibin beta B subunit
7914000	0.13855	1.95e-04	4.29922648	0.64885	1.09956441	NR0B2	nuclear receptor subfamily 0 group B member 2
8146633	0.13855	1.96e-04	4.29741838	0.64479	0.46704199	UG0898H09	uncharacterized LOC643763
7893001	0.15008	2.19e-04	4.25574375	0.55128	0.52456014		
