"ID"	"Gene.title"	"Gene.symbol"	"Gene.ID"	"UniGene.title"	"UniGene.symbol"	"UniGene.ID"	"Nucleotide.Title"	"GI"	"GenBank.Accession"	"Platform_CLONEID"	"Platform_ORF"	"Platform_SPOTID"	"Chromosome.location"	"Chromosome.annotation"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
7928107	"H2A histone family member Y2"	"H2AFY2"	"55506"	""	""	""	"Homo sapiens H2A histone family member Y2 (H2AFY2), mRNA///Homo sapiens core histone macroH2A2.2 (MACROH2A2) mRNA, complete cds"	"95113660///8099341"	"NM_018649///AF151534"	NA	NA	"chr10:71812357-71872040"	"10q22.1"	"Chromosome 10, NC_000010.11 (70052601..70112284)"	"RNA polymerase II regulatory region sequence-specific DNA binding///chromatin DNA binding///protein heterodimerization activity///transcription regulatory region DNA binding"	"brain development///chromatin silencing///covalent chromatin modification///dosage compensation///establishment of protein localization to chromatin///negative regulation of gene expression, epigenetic///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter///nucleosome assembly///positive regulation of keratinocyte differentiation///NOT regulation of cell growth"	"Barr body///colocalizes_with ESC/E(Z) complex///extracellular exosome///nuclear chromatin///nuclear chromosome, telomeric region///nucleoplasm///nucleosome"	"GO:0000977///GO:0031490///GO:0046982///GO:0044212"	"GO:0007420///GO:0006342///GO:0016569///GO:0007549///GO:0071169///GO:0045814///GO:0000122///GO:1901837///GO:0006334///GO:0045618///NOT GO:0001558"	"GO:0001740///colocalizes_with GO:0035098///GO:0070062///GO:0000790///GO:0000784///GO:0005654///GO:0000786"	-0.891656248952379	5.61070394942308	-6.93782044805618	1.71926506789302e-07	0.0057246368965634	6.35995739356844
8022295	"piezo type mechanosensitive ion channel component 2"	"PIEZO2"	"63895"	""	""	""	"Homo sapiens piezo type mechanosensitive ion channel component 2 (PIEZO2), mRNA"	"590121976"	"NM_022068"	NA	NA	"chr18:10731474-10789109"	"18p11.22"	"Chromosome 18, NC_000018.10 (10670237..11149561, complement)"	"mechanically-gated ion channel activity"	"cation transport///detection of mechanical stimulus involved in sensory perception///ion transmembrane transport///response to mechanical stimulus"	"integral component of membrane"	"GO:0008381"	"GO:0006812///GO:0050974///GO:0034220///GO:0009612"	"GO:0016021"	-0.642442709357141	7.90952311215385	-5.83353629707961	3.1070204914923e-06	0.0517272306526096	4.05911953760709
7905043	""	""	""	""	""	""	""	""	""	NA	NA	"chr1:149285745-149291742"	""	""	""	""	""	""	""	""	-0.524720629452381	5.01343990573077	-5.58530628295121	6.04085585163727e-06	0.0593905998277441	3.51920458256488
7946641	"polypeptide N-acetylgalactosaminyltransferase 18"	"GALNT18"	"374378"	""	""	""	"Homo sapiens polypeptide N-acetylgalactosaminyltransferase 18 (GALNT18), mRNA///Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4, mRNA (cDNA clone MGC:43305 IMAGE:5265475), complete cds"	"222446617///34192720"	"NM_198516///BC037341"	NA	NA	"chr11:11292421-11643552"	"11p15.3"	"Chromosome 11, NC_000011.10 (11270874..11622045, complement)"	"carbohydrate binding///metal ion binding///polypeptide N-acetylgalactosaminyltransferase activity"	"protein glycosylation"	"Golgi membrane///integral component of membrane"	"GO:0030246///GO:0046872///GO:0004653"	"GO:0006486"	"GO:0000139///GO:0016021"	-0.650025020107142	5.53572916311538	-5.50485429324866	7.49945007872254e-06	0.0593905998277441	3.34277460600487
8103226	"transmembrane protein 154"	"TMEM154"	"201799"	""	""	""	"Homo sapiens transmembrane protein 154 (TMEM154), mRNA///Homo sapiens transmembrane protein 154, mRNA (cDNA clone MGC:71534 IMAGE:30336271), complete cds"	"307691165///38512230"	"NM_152680///BC060775"	NA	NA	"chr4:153547271-153601191"	"4q31.3"	"Chromosome 4, NC_000004.12 (152626114..152680165, complement)"	""	""	"integral component of membrane"	""	""	"GO:0016021"	-1.73298787791667	6.72456762596154	-5.43275570583142	9.10604425929733e-06	0.0593905998277441	3.18411621139902
7926223	"calcium/calmodulin dependent protein kinase ID"	"CAMK1D"	"57118"	""	""	""	"Homo sapiens calcium/calmodulin dependent protein kinase ID (CAMK1D), transcript variant 2, mRNA///Homo sapiens calcium/calmodulin dependent protein kinase ID (CAMK1D), transcript variant 1, mRNA///Homo sapiens CaM-KI delta mRNA for CaM-kinase I delta, complete cds"	"747165397///747165400///23491809"	"NM_153498///NM_020397///AB081726"	NA	NA	"chr10:12391481-12877545"	"10p13"	"Chromosome 10, NC_000010.11 (12349514..12835545)"	"ATP binding///calmodulin binding///calmodulin-dependent protein kinase activity"	"inflammatory response///negative regulation of apoptotic process///positive regulation of CREB transcription factor activity///positive regulation of apoptotic process///positive regulation of neuron projection development///positive regulation of neutrophil chemotaxis///positive regulation of phagocytosis///positive regulation of respiratory burst///protein phosphorylation///regulation of dendrite development///regulation of granulocyte chemotaxis"	"cytoplasm///nucleus"	"GO:0005524///GO:0005516///GO:0004683"	"GO:0006954///GO:0043066///GO:0032793///GO:0043065///GO:0010976///GO:0090023///GO:0050766///GO:0060267///GO:0006468///GO:0050773///GO:0071622"	"GO:0005737///GO:0005634"	-0.646989027988094	6.92205843696154	-5.29148472092364	1.33290153841714e-05	0.0593905998277441	2.87185454168217
8165684	""	""	""	""	""	""	""	""	""	NA	NA	"chrM:12267-12337"	""	""	""	""	""	""	""	""	1.02466580275	7.70703687619231	5.2738673514363	1.39783625600913e-05	0.0593905998277441	2.83279392832597
8066822	"sulfatase 2"	"SULF2"	"55959"	""	""	""	"Homo sapiens sulfatase 2 (SULF2), transcript variant 1, mRNA///Homo sapiens sulfatase 2 (SULF2), transcript variant 2, mRNA///Homo sapiens sulfatase 2 (SULF2), transcript variant 3, mRNA///Homo sapiens KIAA1247 mRNA for KIAA1247 protein"	"240255476///240255477///240255482///14133244"	"NM_018837///NM_198596///NM_001161841///AB033073"	NA	NA	"chr20:46285656-46415360"	"20q13.12"	"Chromosome 20, NC_000020.11 (47654584..47786629, complement)"	"N-acetylglucosamine-6-sulfatase activity///N-acetylglucosamine-6-sulfatase activity///arylsulfatase activity///arylsulfatase activity///calcium ion binding"	"bone development///cartilage development///chondrocyte development///embryonic skeletal system development///esophagus smooth muscle contraction///glial cell-derived neurotrophic factor receptor signaling pathway///glomerular basement membrane development///glomerular filtration///heparan sulfate proteoglycan metabolic process///heparan sulfate proteoglycan metabolic process///innervation///kidney development///liver regeneration///negative regulation of fibroblast growth factor receptor signaling pathway///positive regulation of Wnt signaling pathway///positive regulation of canonical Wnt signaling pathway///positive regulation of catenin import into nucleus///positive regulation of vascular endothelial growth factor production///regulation of hepatocyte proliferation///response to wounding"	"Golgi stack///cell surface///endoplasmic reticulum///extracellular space///plasma membrane"	"GO:0008449///GO:0008449///GO:0004065///GO:0004065///GO:0005509"	"GO:0060348///GO:0051216///GO:0002063///GO:0048706///GO:0014846///GO:0035860///GO:0032836///GO:0003094///GO:0030201///GO:0030201///GO:0060384///GO:0001822///GO:0097421///GO:0040037///GO:0030177///GO:0090263///GO:0035413///GO:0010575///GO:2000345///GO:0009611"	"GO:0005795///GO:0009986///GO:0005783///GO:0005615///GO:0005886"	-1.07780755104762	8.26978628926923	-5.26623915325096	1.42692974929259e-05	0.0593905998277441	2.81587318258044
7990620	"tetraspanin 3"	"TSPAN3"	"10099"	""	""	""	"Homo sapiens tetraspanin 3 (TSPAN3), transcript variant 1, mRNA///Homo sapiens tetraspanin 3 (TSPAN3), transcript variant 2, mRNA///Homo sapiens tetraspanin 3 (TSPAN3), transcript variant 3, mRNA///Homo sapiens tetraspanin 3, mRNA (cDNA clone MGC:17513 IMAGE:3457158), complete cds"	"270483817///270483819///270483820///15029947"	"NM_005724///NM_198902///NM_001168412///BC011206"	NA	NA	"chr15:77338331-77363513"	"15q24.3"	"Chromosome 15, NC_000015.10 (77044017..77071228, complement)"	"molecular_function"	"biological_process///cell surface receptor signaling pathway"	"extracellular exosome///integral component of plasma membrane"	"GO:0003674"	"GO:0008150///GO:0007166"	"GO:0070062///GO:0005887"	-0.512905449345237	8.03451295742308	-5.21779507672915	1.62643349418137e-05	0.06017261783973	2.70830864766888
8141803	"RAS p21 protein activator 4C, pseudogene///RAS p21 protein activator 4"	"RASA4CP///RASA4"	"401331///10156"	""	""	""	"Homo sapiens RAS p21 protein activator 4 (RASA4), transcript variant 1, mRNA///Homo sapiens RAS p21 protein activator 4 (RASA4), transcript variant 2, mRNA///Homo sapiens RAS p21 protein activator 4C, pseudogene (RASA4CP), non-coding RNA///Homo sapiens RAS p21 protein activator 4, mRNA (cDNA clone MGC:142223 IMAGE:8322715), complete cds"	"299829176///299829174///212286157///109731777"	"NM_006989///NM_001079877///NR_024116///BC113663"	NA	NA	"chr7:102214254-102257176"	"7p13///7q22"	"Chromosome 7, NC_000007.14 (44028887..44040623, complement)///Chromosome 7, NC_000007.14 (102579646..102616758, complement)"	"GTPase activator activity///metal ion binding"	"MAPK cascade///cellular response to calcium ion///negative regulation of GTPase activity///negative regulation of GTPase activity///negative regulation of Ras protein signal transduction///positive regulation of GTPase activity"	"cytosol///cytosol///intrinsic component of the cytoplasmic side of the plasma membrane///colocalizes_with plasma membrane"	"GO:0005096///GO:0046872"	"GO:0000165///GO:0071277///GO:0034260///GO:0034260///GO:0046580///GO:0043547"	"GO:0005829///GO:0005829///GO:0031235///colocalizes_with GO:0005886"	-0.549161332071427	5.70585178473077	-5.0980850404844	2.24800132210383e-05	0.0748517000220914	2.44176975828669
